날짜,종가,오픈,고가,저가,변동 %
2020년 04월 29일,8.16,7.77,8.16,7.77,4.75%
2020년 04월 30일,8.62,8.15,8.75,7.96,5.64%
2020년 05월 01일,8.31,8.61,8.79,8.16,-3.60%
2020년 05월 03일,8.27,8.32,8.34,8.21,-0.48%
2020년 05월 04일,8.73,8.27,8.82,8.12,5.56%
2020년 05월 05일,9.68,8.75,9.75,8.66,10.88%
2020년 05월 06일,9.11,9.66,9.66,8.96,-5.89%
2020년 05월 07일,9.12,9.18,9.63,8.95,0.11%
2020년 05월 08일,9.61,9.12,9.68,9.09,5.37%
2020년 05월 10일,9.71,9.71,9.75,9.63,1.04%
2020년 05월 11일,9.46,9.7,9.88,9.39,-2.57%
2020년 05월 12일,9.38,9.48,9.63,9.32,-0.85%
2020년 05월 13일,9.41,9.35,9.64,9.29,0.32%
2020년 05월 14일,9.79,9.41,9.88,9.29,4.04%
2020년 05월 15일,10.17,9.8,10.2,9.68,3.88%
2020년 05월 17일,10.46,10.29,10.48,10.25,2.85%
2020년 05월 18일,11.21,10.48,11.23,10.45,7.17%
2020년 05월 19일,11,11.2,11.23,10.88,-1.87%
2020년 05월 20일,11.5,10.99,11.57,10.98,4.55%
2020년 05월 21일,11.75,11.5,11.8,11.46,2.17%
2020년 05월 22일,11.63,11.75,11.77,10.88,-1.02%
2020년 05월 24일,11.66,11.79,11.8,11.54,0.26%
2020년 05월 25일,12.02,11.68,12.07,11.59,3.09%
2020년 05월 26일,12.18,12.04,12.32,11.89,1.33%
2020년 05월 27일,11.59,12.18,12.23,11.41,-4.84%
2020년 05월 28일,12.07,11.59,12.27,11.48,4.14%
2020년 05월 29일,12.67,12.07,12.77,11.82,4.97%
2020년 05월 31일,12.77,12.64,12.97,12.63,0.79%
2020년 06월 01일,12.93,12.77,13.02,12.55,1.25%
2020년 06월 02일,13.48,12.91,13.54,12.88,4.25%
2020년 06월 03일,13.59,13.48,13.78,13.23,0.82%
2020년 06월 04일,13.77,13.59,13.86,13.41,1.32%
2020년 06월 05일,14.33,13.79,14.55,13.73,4.07%
2020년 06월 07일,14.98,14.68,14.99,14.64,4.54%
2020년 06월 08일,14.46,14.98,14.98,14.25,-3.47%
2020년 06월 09일,14.45,14.46,14.71,14.04,-0.07%
2020년 06월 10일,14.62,14.43,15.04,14.32,1.18%
2020년 06월 11일,13.71,14.62,14.68,13.66,-6.22%
2020년 06월 12일,14.12,13.73,14.23,13.32,2.99%
2020년 06월 14일,13.96,14.14,14.14,13.9,-1.13%
2020년 06월 15일,14.7,13.96,14.79,13.62,5.30%
2020년 06월 16일,14.96,14.66,15.41,14.41,1.77%
2020년 06월 17일,14.93,14.96,15.32,14.79,-0.20%
2020년 06월 18일,15.54,14.89,15.61,14.79,4.09%
2020년 06월 19일,15.61,15.52,15.95,15.25,0.45%
2020년 06월 21일,15.91,15.59,15.96,15.59,1.92%
2020년 06월 22일,16.46,15.89,16.57,15.84,3.46%
2020년 06월 23일,16.28,16.45,16.8,16.05,-1.09%
2020년 06월 24일,15.62,16.29,16.48,15.34,-4.05%
2020년 06월 25일,16.09,15.63,16.18,15.38,3.01%
2020년 06월 26일,15.87,16.07,16.25,15.7,-1.37%
2020년 06월 28일,15.96,15.98,16,15.89,0.57%
2020년 06월 29일,16.64,15.96,16.75,15.86,4.26%
2020년 06월 30일,16.73,16.66,16.89,16.45,0.54%
2020년 07월 01일,16.86,16.73,17.13,16.55,0.78%
2020년 07월 02일,17.25,16.88,17.43,16.86,2.31%
2020년 07월 03일,17.38,17.24,17.39,17.16,0.75%
2020년 07월 05일,17.68,17.63,17.73,17.61,1.73%
2020년 07월 06일,17.89,17.69,18,17.62,1.19%
2020년 07월 07일,17.86,17.88,18.05,17.62,-0.17%
2020년 07월 08일,18.19,17.85,18.23,17.82,1.85%
2020년 07월 09일,17.88,18.16,18.28,17.66,-1.70%
2020년 07월 10일,18.37,17.88,18.38,17.5,2.74%
2020년 07월 12일,18.41,18.5,18.56,18.34,0.22%
2020년 07월 13일,18.27,18.41,18.7,18.23,-0.76%
2020년 07월 14일,18.77,18.25,18.94,18.09,2.74%
2020년 07월 15일,19.07,18.8,19.16,18.68,1.60%
2020년 07월 16일,19.09,19.09,19.21,18.96,0.10%
2020년 07월 17일,19.14,19.12,19.21,18.88,0.26%
2020년 07월 19일,19.41,19.39,19.42,19.31,1.41%
2020년 07월 20일,19.54,19.41,19.59,19.13,0.67%
2020년 07월 21일,19.96,19.55,20.34,19.54,2.15%
2020년 07월 22일,20.13,19.95,20.27,19.84,0.85%
2020년 07월 23일,20,20.16,20.52,19.86,-0.65%
2020년 07월 24일,20.27,19.99,20.31,19.87,1.35%
