날짜,종가,오픈,고가,저가,변동 %
2021년 06월 06일,69.7,69.47,69.72,69.42,0.45%
2021년 06월 07일,69.09,69.72,69.98,68.94,-0.88%
2021년 06월 08일,70,69.11,70.26,68.47,1.32%
2021년 06월 09일,69.7,70.03,70.61,69.45,-0.43%
2021년 06월 10일,70.17,69.71,70.64,68.69,0.67%
2021년 06월 11일,70.79,70.14,71.22,69.67,0.88%
2021년 06월 13일,70.95,70.78,71.03,70.73,0.23%
2021년 06월 14일,71.03,70.94,71.76,70.72,0.11%
2021년 06월 15일,72.39,71.05,72.49,70.81,1.91%
2021년 06월 16일,71.47,72.4,72.96,71.41,-1.27%
2021년 06월 17일,70.91,71.55,72.29,69.77,-0.78%
2021년 06월 18일,71.39,70.88,72.16,70.16,0.68%
2021년 06월 20일,71.84,71.5,71.97,71.5,0.63%
2021년 06월 21일,73.41,71.81,73.64,71.16,2.19%
2021년 06월 22일,73.19,73.39,73.83,72.83,-0.30%
2021년 06월 23일,73.52,73.2,74.6,73.17,0.45%
2021년 06월 24일,73.59,73.51,73.94,72.67,0.10%
2021년 06월 25일,74.34,73.61,74.51,73.19,1.02%
2021년 06월 27일,74.44,74.33,74.47,74.29,0.13%
2021년 06월 28일,73.17,74.45,74.75,72.92,-1.71%
2021년 06월 29일,73.72,73.16,74.08,72.26,0.75%
2021년 06월 30일,73.77,73.72,74.39,73.09,0.07%
2021년 07월 01일,75.28,73.75,76.48,73.66,2.05%
2021년 07월 02일,75.29,75.25,75.81,74.68,0.01%
2021년 07월 04일,75.36,75.42,75.5,75.2,0.09%
2021년 07월 05일,76.44,75.34,76.59,74.97,1.43%
2021년 07월 06일,73.77,76.45,77.17,73.15,-3.49%
2021년 07월 07일,72.28,73.75,75.06,71.27,-2.02%
2021년 07월 08일,73.39,72.28,73.5,70.94,1.54%
2021년 07월 09일,74.78,73.36,74.92,72.89,1.89%
2021년 07월 11일,74.83,74.97,74.97,74.75,0.07%
2021년 07월 12일,74.33,74.81,74.91,73.28,-0.67%
2021년 07월 13일,75.12,74.34,75.59,73.78,1.06%
2021년 07월 14일,72.86,75.11,75.53,72.34,-3.01%
2021년 07월 15일,71.44,72.88,73,71.38,-1.95%
2021년 07월 16일,71.52,71.42,72.34,70.47,0.11%
2021년 07월 18일,71.42,71.36,71.69,71,-0.14%
2021년 07월 19일,67.19,71.42,71.44,65.89,-5.92%
2021년 07월 20일,67.03,67.17,67.89,65.38,-0.24%
2021년 07월 21일,70.53,67.06,70.8,66.78,5.22%
2021년 07월 22일,72,70.53,72.31,70.14,2.08%
2021년 07월 23일,72.45,72,72.46,71.69,0.62%
2021년 07월 26일,72.33,72.39,72.55,70.83,-0.17%
2021년 07월 27일,72.22,72.31,72.56,71.33,-0.15%
2021년 07월 28일,72.64,72.23,72.83,71.94,0.58%
2021년 07월 29일,73.52,72.62,73.89,72.48,1.21%
2021년 07월 30일,73.94,73.53,74.44,73.16,0.57%
