날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 05월 25일,"389,500","380,000","389,500","375,000",502.68K,3.32%
2020년 05월 26일,"414,000","398,000","416,000","398,000",0.14K,6.29%
2020년 05월 27일,"395,500","405,500","412,000","394,500",0.18K,-4.47%
2020년 05월 28일,"388,500","403,500","403,500","380,000",0.22K,-1.77%
2020년 05월 29일,"390,500","381,500","391,000","381,500",520.77K,0.51%
2020년 05월 31일,"390,500","390,500","390,500","390,500",-,0.00%
2020년 06월 01일,"396,000","391,000","401,000","390,000",0.01K,1.41%
2020년 06월 02일,"395,000","400,000","402,000","393,000",0.10K,-0.25%
2020년 06월 03일,"400,500","398,500","401,500","395,000",0.02K,1.39%
2020년 06월 04일,"417,500","400,500","420,000","399,500",0.34K,4.24%
2020년 06월 05일,"434,000","421,500","434,000","421,000",862.65K,3.95%
2020년 06월 07일,"434,000","434,000","434,000","434,000",-,0.00%
2020년 06월 08일,"434,000","440,000","446,000","432,000",683.54K,0.00%
2020년 06월 09일,"432,500","439,000","441,000","426,000",0.40K,-0.35%
2020년 06월 10일,"440,000","432,500","442,000","429,500",0.01K,1.73%
2020년 06월 11일,"463,000","447,500","469,500","446,000",0.14K,5.23%
2020년 06월 12일,"462,000","436,500","466,000","436,000",990.09K,-0.22%
2020년 06월 14일,"462,000","462,000","462,000","462,000",-,0.00%
2020년 06월 15일,"428,000","455,000","460,500","428,000",842.13K,-7.36%
2020년 06월 16일,"487,500","445,000","487,500","444,000",1.13M,13.90%
2020년 06월 17일,"491,500","495,500","497,000","487,500",0.30K,0.82%
2020년 06월 18일,"491,000","491,500","494,500","481,500",461.84K,-0.10%
2020년 06월 19일,"512,000","499,500","512,000","488,000",732.61K,4.28%
2020년 06월 21일,"512,000","512,000","512,000","512,000",-,0.00%
2020년 06월 22일,"506,000","510,000","519,000","502,000",0.00K,-1.17%
2020년 06월 23일,"504,000","512,000","518,000","500,000",0.10K,-0.40%
2020년 06월 24일,"516,000","515,000","520,000","511,000",0.14K,2.38%
2020년 06월 25일,"499,000","506,000","513,000","499,000",544.35K,-3.29%
2020년 06월 26일,"501,000","508,000","509,000","488,500",471.60K,0.40%
2020년 06월 28일,"501,000","501,000","501,000","501,000",-,0.00%
2020년 06월 29일,"489,500","492,000","501,000","486,000",0.00K,-2.30%
2020년 06월 30일,"490,500","502,000","502,000","487,500",0.01K,0.20%
2020년 07월 01일,"491,500","499,000","503,000","491,000",0.14K,0.20%
2020년 07월 02일,"496,000","495,500","496,500","488,000",0.05K,0.92%
2020년 07월 03일,"507,000","509,000","515,000","502,000",440.45K,2.22%
2020년 07월 05일,"507,000","507,000","507,000","507,000",-,0.00%
2020년 07월 06일,"509,000","507,000","511,000","498,500",314.89K,0.39%
2020년 07월 07일,"516,000","524,000","531,000","515,000",0.18K,1.38%
2020년 07월 08일,"513,000","518,000","520,000","509,000",0.05K,-0.58%
2020년 07월 09일,"539,000","514,000","549,000","512,000",0.09K,5.07%
2020년 07월 10일,"529,000","544,000","548,000","527,000",468.03K,-1.86%
2020년 07월 13일,"547,000","538,000","548,000","534,000",0.32K,3.40%
2020년 07월 14일,"534,000","536,000","545,000","531,000",0.02K,-2.38%
2020년 07월 15일,"544,000","539,000","545,000","536,000",0.84K,1.87%
2020년 07월 16일,"523,000","547,000","547,000","520,000",0.17K,-3.86%
2020년 07월 17일,"516,000","516,000","522,000","505,000",537.47K,-1.34%
2020년 07월 19일,"516,000","516,000","516,000","516,000",-,0.00%
2020년 07월 20일,"511,000","518,000","518,000","506,000",0.02K,-0.97%
2020년 07월 21일,"531,000","525,000","537,000","523,000",0.23K,3.91%
2020년 07월 22일,"527,000","524,000","529,000","516,000",0.01K,-0.75%
2020년 07월 23일,"532,000","535,000","535,000","522,000",268.46K,0.95%
2020년 07월 24일,"516,000","521,000","526,000","513,000",402.14K,-3.01%
2020년 07월 26일,"516,000","516,000","516,000","516,000",-,0.00%
2020년 07월 27일,"517,000","510,000","520,000","509,000",0.01K,0.19%
2020년 07월 28일,"528,000","526,000","532,000","522,000",0.10K,2.13%
2020년 07월 29일,"527,000","527,000","538,000","523,000",314.64K,-0.19%
2020년 07월 30일,"530,000","531,000","533,000","523,000",0.11K,0.57%
2020년 07월 31일,"568,000","541,000","580,000","532,000",1.36M,7.17%
2020년 08월 02일,"568,000","568,000","568,000","568,000",-,0.00%
2020년 08월 03일,"635,000","578,000","650,000","578,000",0.10K,11.80%
2020년 08월 04일,"642,000","651,000","664,000","636,000",0.83K,1.10%
2020년 08월 05일,"670,000","639,000","681,000","637,000",0.73K,4.36%
2020년 08월 06일,"680,000","672,000","688,000","660,000",0.70K,1.49%
2020년 08월 07일,"746,000","680,000","758,000","680,000",1.39M,9.71%
2020년 08월 09일,"746,000","746,000","746,000","746,000",-,0.00%
2020년 08월 10일,"720,000","747,000","748,000","717,000",0.57K,-3.49%
2020년 08월 11일,"758,000","715,000","770,000","708,000",1.33K,5.28%
2020년 08월 12일,"741,000","746,000","764,000","740,000",0.00K,-2.24%
2020년 08월 13일,"737,000","759,000","776,000","723,000",0.16K,-0.54%
2020년 08월 14일,"700,000","716,000","724,000","695,000",1.15M,-5.02%
2020년 08월 17일,"700,000","700,000","700,000","700,000",-,0.00%
2020년 08월 18일,"690,000","689,000","722,000","673,000",1.04M,-1.43%
2020년 08월 19일,"683,000","704,000","709,000","677,000",0.61K,-1.01%
2020년 08월 20일,"667,000","679,000","697,000","663,000",0.29K,-2.34%
2020년 08월 21일,"699,000","676,000","709,000","676,000",1.07M,4.80%
2020년 08월 23일,"699,000","699,000","699,000","699,000",-,0.00%
2020년 08월 24일,"702,000","696,000","708,000","688,000",0.06K,0.43%
2020년 08월 25일,"713,000","712,000","714,000","703,000",0.09K,1.57%
2020년 08월 26일,"757,000","718,000","768,000","716,000",0.13K,6.17%
2020년 08월 27일,"762,000","774,000","785,000","759,000",0.18K,0.66%
2020년 08월 28일,"759,000","767,000","776,000","751,000",493.06K,-0.39%
2020년 08월 30일,"759,000","759,000","759,000","759,000",-,0.00%
2020년 08월 31일,"740,000","764,000","775,000","732,000",0.05K,-2.50%
