날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 09일,"812,000","814,000","816,000","804,000",222.74K,0.25%
2021년 04월 12일,"817,000","845,000","845,000","816,000",0.03K,0.62%
2021년 04월 13일,"868,000","824,000","874,000","822,000",0.05K,6.24%
2021년 04월 14일,"897,000","890,000","899,000","871,000",0.78K,3.34%
2021년 04월 15일,"891,000","897,000","898,000","881,000",0.08K,-0.67%
2021년 04월 16일,"897,000","897,000","910,000","891,000",270.23K,0.67%
2021년 04월 18일,"897,000","897,000","897,000","897,000",-,0.00%
2021년 04월 19일,"881,000","901,000","904,000","881,000",0.15K,-1.78%
2021년 04월 20일,"893,000","883,000","895,000","882,000",0.09K,1.36%
2021년 04월 21일,"864,000","884,000","887,000","864,000",0.00K,-3.25%
2021년 04월 22일,"871,000","873,000","881,000","867,000",0.03K,0.81%
2021년 04월 23일,"874,000","877,000","879,000","855,000",209.22K,0.34%
2021년 04월 25일,"874,000","874,000","874,000","874,000",-,0.00%
2021년 04월 26일,"883,000","880,000","885,000","866,000",1.07K,1.03%
2021년 04월 27일,"891,000","890,000","903,000","886,000",0.23K,0.91%
2021년 04월 28일,"890,000","889,000","895,000","873,000",0.04K,-0.11%
2021년 04월 29일,"951,000","914,000","965,000","914,000",0.66K,6.85%
2021년 04월 30일,"932,000","950,000","950,000","918,000",541.37K,-2.00%
2021년 05월 02일,"932,000","932,000","932,000","932,000",-,0.00%
2021년 05월 03일,"907,000","935,000","935,000","899,000",336.57K,-2.68%
2021년 05월 04일,"920,000","905,000","927,000","895,000",296.12K,1.43%
2021년 05월 05일,"920,000","920,000","920,000","920,000",-,0.00%
2021년 05월 06일,"938,000","915,000","939,000","911,000",328.23K,1.96%
2021년 05월 07일,"919,000","938,000","941,000","919,000",171.99K,-2.03%
2021년 05월 09일,"919,000","919,000","919,000","919,000",-,0.00%
2021년 05월 10일,"912,000","931,000","931,000","908,000",0.06K,-0.76%
2021년 05월 11일,"911,000","912,000","922,000","906,000",0.15K,-0.11%
2021년 05월 12일,"863,000","912,000","913,000","860,000",0.07K,-5.27%
2021년 05월 13일,"850,000","847,000","858,000","843,000",0.01K,-1.51%
2021년 05월 14일,"854,000","852,000","865,000","846,000",186.52K,0.47%
2021년 05월 16일,"854,000","854,000","854,000","854,000",-,0.00%
2021년 05월 17일,"860,000","863,000","867,000","854,000",0.03K,0.70%
2021년 05월 18일,"881,000","868,000","889,000","865,000",182.34K,2.44%
2021년 05월 19일,"881,000","881,000","881,000","881,000",-,0.00%
2021년 05월 20일,"903,000","911,000","911,000","887,000",0.03K,2.50%
2021년 05월 21일,"894,000","913,000","915,000","881,000",225.99K,-1.00%
2021년 05월 23일,"894,000","894,000","894,000","894,000",-,0.00%
2021년 05월 24일,"892,000","894,000","901,000","882,000",149.95K,-0.22%
2021년 05월 25일,"892,000","897,000","906,000","889,000",0.09K,0.00%
2021년 05월 26일,"832,000","880,000","880,000","832,000",1.19K,-6.73%
2021년 05월 27일,"803,000","824,000","824,000","791,000",0.08K,-3.49%
2021년 05월 28일,"832,000","813,000","835,000","809,000",407.22K,3.61%
2021년 05월 30일,"832,000","832,000","832,000","832,000",-,0.00%
2021년 05월 31일,"819,000","831,000","831,000","811,000",264.30K,-1.56%
2021년 06월 01일,"825,000","819,000","830,000","818,000",0.06K,0.73%
2021년 06월 02일,"807,000","825,000","826,000","805,000",0.10K,-2.18%
2021년 06월 03일,"812,000","807,000","818,000","803,000",0.07K,0.62%
2021년 06월 04일,"809,000","810,000","810,000","803,000",239.17K,-0.37%
2021년 06월 06일,"809,000","809,000","809,000","809,000",-,0.00%
2021년 06월 07일,"814,000","812,000","819,000","808,000",0.12K,0.62%
2021년 06월 08일,"808,000","812,000","814,000","806,000",0.16K,-0.74%
2021년 06월 09일,"802,000","807,000","810,000","801,000",146.44K,-0.74%
2021년 06월 10일,"807,000","802,000","807,000","795,000",0.13K,0.62%
2021년 06월 11일,"850,000","809,000","850,000","807,000",487.73K,5.33%
2021년 06월 13일,"850,000","850,000","850,000","850,000",-,0.00%
2021년 06월 14일,"827,000","841,000","841,000","824,000",0.01K,-2.71%
2021년 06월 15일,"820,000","834,000","840,000","817,000",0.07K,-0.85%
2021년 06월 16일,"808,000","820,000","820,000","806,000",0.05K,-1.46%
2021년 06월 17일,"835,000","818,000","840,000","816,000",0.07K,3.34%
2021년 06월 18일,"822,000","835,000","840,000","821,000",252.05K,-1.56%
2021년 06월 20일,"822,000","822,000","822,000","822,000",-,0.00%
2021년 06월 21일,"822,000","812,000","826,000","807,000",144.02K,0.00%
2021년 06월 22일,"842,000","825,000","844,000","824,000",0.02K,2.43%
2021년 06월 23일,"835,000","845,000","846,000","825,000",0.01K,-0.83%
2021년 06월 24일,"831,000","835,000","839,000","827,000",0.01K,-0.48%
2021년 06월 25일,"838,000","841,000","849,000","835,000",199.08K,0.84%
2021년 06월 27일,"838,000","838,000","838,000","838,000",-,0.00%
2021년 06월 28일,"830,000","838,000","839,000","830,000",0.02K,-0.95%
2021년 06월 29일,"839,000","840,000","840,000","830,000",161.55K,1.08%
2021년 06월 30일,"850,000","845,000","862,000","842,000",0.09K,1.31%
2021년 07월 01일,"845,000","851,000","870,000","844,000",0.03K,-0.59%
2021년 07월 02일,"849,000","850,000","856,000","845,000",131.43K,0.47%
2021년 07월 04일,"849,000","849,000","849,000","849,000",-,0.00%
2021년 07월 05일,"870,000","857,000","875,000","854,000",0.06K,2.47%
2021년 07월 06일,"873,000","874,000","874,000","863,000",155.69K,0.34%
2021년 07월 07일,"872,000","878,000","878,000","866,000",0.01K,-0.11%
2021년 07월 08일,"859,000","872,000","872,000","854,000",0.18K,-1.49%
2021년 07월 09일,"833,000","859,000","865,000","830,000",230.71K,-3.03%
2021년 07월 12일,"849,000","842,000","849,000","833,000",0.02K,1.92%
2021년 07월 13일,"840,000","859,000","859,000","840,000",0.01K,-1.06%
2021년 07월 14일,"844,000","845,000","858,000","837,000",0.02K,0.48%
2021년 07월 15일,"818,000","844,000","846,000","817,000",0.07K,-3.08%
2021년 07월 16일,"828,000","820,000","828,000","818,000",215.08K,1.22%
2021년 07월 18일,"828,000","828,000","828,000","828,000",-,0.00%
2021년 07월 19일,"820,000","826,000","828,000","820,000",0.01K,-0.97%
2021년 07월 20일,"815,000","810,000","818,000","809,000",0.00K,-0.61%
2021년 07월 21일,"810,000","823,000","823,000","810,000",145.54K,-0.61%
2021년 07월 22일,"826,000","818,000","826,000","815,000",0.01K,1.98%
2021년 07월 23일,"828,000","835,000","835,000","820,000",124.14K,0.24%
2021년 07월 25일,"828,000","828,000","828,000","828,000",-,0.00%
2021년 07월 26일,"817,000","827,000","827,000","815,000",164.13K,-1.33%
2021년 07월 27일,"835,000","827,000","837,000","823,000",0.02K,2.20%
2021년 07월 28일,"835,000","831,000","836,000","827,000",149.94K,0.00%
2021년 07월 29일,"835,000","842,000","843,000","831,000",0.00K,0.00%
2021년 07월 30일,"842,000","845,000","857,000","836,000",316.55K,0.84%
2021년 08월 02일,"864,000","848,000","865,000","831,000",0.08K,2.61%
2021년 08월 03일,"853,000","872,000","872,000","850,000",224.22K,-1.27%
2021년 08월 04일,"856,000","848,000","862,000","832,000",0.02K,0.35%
2021년 08월 05일,"857,000","850,000","862,000","846,000",0.02K,0.12%
2021년 08월 06일,"842,000","859,000","860,000","841,000",149.04K,-1.75%
