날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 03월 22일,"204,500","208,500","209,000","200,000",0.63K,-3.31%
2021년 03월 23일,"202,000","206,000","209,000","201,000",0.27K,-1.22%
2021년 03월 24일,"204,500","199,500","208,000","198,500",1.25K,1.24%
2021년 03월 25일,"207,500","205,500","214,500","205,000",0.01K,1.47%
2021년 03월 26일,"209,000","210,500","211,000","205,500",461.38K,0.72%
2021년 03월 28일,"209,000","209,000","209,000","209,000",-,0.00%
2021년 03월 29일,"205,000","211,000","211,000","204,000",0.26K,-1.91%
2021년 03월 30일,"223,000","206,500","224,500","204,500",1.43M,8.78%
2021년 03월 31일,"219,000","221,000","221,000","218,500",0.04K,-1.79%
2021년 04월 01일,"241,500","228,000","251,000","228,000",3.48K,10.27%
2021년 04월 02일,"241,500","247,000","247,000","237,500",874.95K,0.00%
2021년 04월 04일,"241,500","241,500","241,500","241,500",-,0.00%
2021년 04월 05일,"232,500","241,000","241,000","232,500",0.05K,-3.73%
2021년 04월 06일,"228,500","235,000","235,500","223,000",1.35K,-1.72%
2021년 04월 07일,"232,500","230,000","240,000","229,000",0.96K,1.75%
2021년 04월 08일,"243,500","234,500","246,500","228,000",1.11M,4.73%
2021년 04월 09일,"238,000","241,000","243,500","235,000",839.96K,-2.26%
2021년 04월 11일,"238,000","238,000","238,000","238,000",-,0.00%
2021년 04월 12일,"266,500","275,500","281,500","265,500",2.40K,11.97%
2021년 04월 13일,"277,000","269,000","283,000","268,500",0.01K,3.94%
2021년 04월 14일,"276,500","280,500","284,000","274,500",2.58K,-0.18%
2021년 04월 15일,"276,500","277,000","280,000","273,000",661.61K,0.00%
2021년 04월 16일,"276,500","280,000","280,500","276,000",535.55K,0.00%
2021년 04월 18일,"276,500","276,500","276,500","276,500",-,0.00%
2021년 04월 19일,"272,000","278,500","279,000","272,000",0.52K,-1.63%
2021년 04월 20일,"268,500","272,000","274,000","267,500",1.17K,-1.29%
2021년 04월 21일,"264,000","268,500","269,000","263,000",0.30K,-1.68%
2021년 04월 22일,"264,500","267,500","268,500","262,500",0.10K,0.19%
2021년 04월 23일,"270,000","261,500","273,000","258,000",834.89K,2.08%
2021년 04월 25일,"270,000","270,000","270,000","270,000",-,0.00%
2021년 04월 26일,"273,500","271,500","275,500","267,000",1.59K,1.30%
2021년 04월 27일,"280,500","276,000","281,000","272,500",0.79K,2.56%
2021년 04월 28일,"270,000","278,000","278,500","269,500",0.11K,-3.74%
2021년 04월 29일,"275,000","271,000","282,500","270,500",1.21M,1.85%
2021년 04월 30일,"270,500","277,000","277,500","270,500",708.26K,-1.64%
2021년 05월 02일,"270,500","270,500","270,500","270,500",-,0.00%
2021년 05월 03일,"255,500","271,000","272,000","254,500",1.11M,-5.55%
2021년 05월 04일,"273,500","254,000","274,500","252,000",1.21M,7.05%
2021년 05월 05일,"273,500","273,500","273,500","273,500",-,0.00%
2021년 05월 06일,"281,500","271,500","284,000","271,000",1.18M,2.93%
2021년 05월 07일,"283,500","284,000","291,000","279,000",950.32K,0.71%
2021년 05월 09일,"283,500","283,500","283,500","283,500",-,0.00%
2021년 05월 10일,"279,000","288,000","290,500","277,000",0.86K,-1.59%
2021년 05월 11일,"269,000","275,000","276,500","267,000",0.15K,-3.58%
2021년 05월 12일,"266,500","269,500","271,500","260,000",0.24K,-0.93%
2021년 05월 13일,"258,000","263,000","271,500","256,000",0.06K,-3.19%
2021년 05월 14일,"269,000","263,000","272,000","262,500",878.70K,4.26%
2021년 05월 16일,"269,000","269,000","269,000","269,000",-,0.00%
2021년 05월 17일,"274,000","274,000","279,000","272,000",902.57K,1.86%
2021년 05월 18일,"278,000","276,000","281,500","275,500",691.30K,1.46%
2021년 05월 19일,"278,000","278,000","278,000","278,000",-,0.00%
2021년 05월 20일,"278,000","282,000","282,500","272,000",0.01K,0.00%
2021년 05월 21일,"280,000","282,000","283,500","272,500",1.16M,0.72%
2021년 05월 23일,"280,000","280,000","280,000","280,000",-,0.00%
2021년 05월 24일,"271,500","280,500","281,000","271,000",0.01K,-3.04%
2021년 05월 25일,"273,500","274,500","274,500","271,500",0.67K,0.74%
2021년 05월 26일,"273,500","272,500","281,000","272,000",0.04K,0.00%
2021년 05월 27일,"277,000","276,500","282,500","273,000",0.00K,1.28%
2021년 05월 28일,"274,000","280,000","280,500","273,000",685.67K,-1.08%
2021년 05월 30일,"274,000","274,000","274,000","274,000",-,0.00%
2021년 05월 31일,"265,000","274,000","274,500","263,000",1.01M,-3.28%
2021년 06월 01일,"264,000","263,500","268,500","262,500",0.02K,-0.38%
2021년 06월 02일,"267,000","265,500","268,500","263,000",0.25K,1.14%
2021년 06월 03일,"272,500","267,000","273,500","267,000",0.16K,2.06%
2021년 06월 04일,"273,500","270,000","276,500","269,000",478.21K,0.37%
2021년 06월 06일,"273,500","273,500","273,500","273,500",-,0.00%
2021년 06월 07일,"274,500","276,000","277,500","273,000",0.23K,0.37%
2021년 06월 08일,"270,000","274,500","275,000","269,000",0.34K,-1.64%
2021년 06월 09일,"274,500","270,000","279,000","269,000",0.17K,1.67%
2021년 06월 10일,"269,500","275,000","275,000","267,000",728.10K,-1.82%
2021년 06월 11일,"274,500","271,000","278,500","270,500",889.03K,1.86%
2021년 06월 13일,"274,500","274,500","274,500","274,500",-,0.00%
2021년 06월 14일,"277,500","275,000","278,000","272,000",0.17K,1.09%
2021년 06월 15일,"288,500","279,500","290,000","278,000",3.19K,3.96%
2021년 06월 16일,"286,000","288,500","291,000","284,500",0.38K,-0.87%
2021년 06월 17일,"281,500","284,500","287,500","281,000",0.22K,-1.57%
2021년 06월 18일,"277,000","283,000","283,000","275,500",785.46K,-1.60%
2021년 06월 20일,"277,000","277,000","277,000","277,000",-,0.00%
2021년 06월 21일,"275,500","273,000","276,500","271,000",551.72K,-0.54%
2021년 06월 22일,"276,000","279,000","280,000","275,000",0.02K,0.18%
2021년 06월 23일,"284,000","277,000","285,000","275,000",0.06K,2.90%
2021년 06월 24일,"293,500","284,500","302,000","284,500",0.00K,3.35%
2021년 06월 25일,"290,000","297,000","297,500","288,500",726.95K,-1.19%
2021년 06월 27일,"290,000","290,000","290,000","290,000",-,0.00%
2021년 06월 28일,"284,000","289,000","293,000","284,000",0.01K,-2.07%
2021년 06월 29일,"282,500","286,500","286,500","281,000",0.27K,-0.53%
2021년 06월 30일,"295,500","283,000","297,500","283,000",0.06K,4.60%
2021년 07월 01일,"269,500","296,500","299,000","268,000",2.06K,-8.80%
2021년 07월 02일,"269,500","266,500","274,500","264,000",2.05M,0.00%
2021년 07월 04일,"269,500","269,500","269,500","269,500",-,0.00%
2021년 07월 05일,"270,500","270,500","274,000","269,500",760.93K,0.37%
2021년 07월 06일,"277,000","272,500","277,000","272,000",1.09K,2.40%
2021년 07월 07일,"272,500","275,000","275,000","271,000",0.40K,-1.62%
2021년 07월 08일,"269,000","273,500","275,000","269,000",0.26K,-1.28%
2021년 07월 09일,"272,000","267,500","272,500","264,500",686.60K,1.12%
2021년 07월 11일,"272,000","272,000","272,000","272,000",-,0.00%
2021년 07월 12일,"272,000","274,000","274,000","271,000",0.03K,0.00%
2021년 07월 13일,"272,500","273,000","273,500","270,500",0.18K,0.18%
2021년 07월 14일,"270,500","273,000","274,000","270,500",0.19K,-0.73%
2021년 07월 15일,"267,000","268,500","269,500","267,000",0.31K,-1.29%
2021년 07월 16일,"262,500","265,500","266,000","261,000",670.68K,-1.69%
2021년 07월 18일,"262,500","262,500","262,500","262,500",-,0.00%
2021년 07월 19일,"258,000","261,500","262,000","258,000",0.06K,-1.71%
2021년 07월 20일,"259,000","253,000","262,000","252,000",452.45K,0.39%
2021년 07월 21일,"259,000","262,000","266,000","259,000",0.05K,0.00%
2021년 07월 22일,"260,500","260,500","261,500","257,000",347.47K,0.58%
2021년 07월 23일,"263,000","262,000","265,000","260,500",267.17K,0.96%
2021년 07월 25일,"263,000","263,000","263,000","263,000",-,0.00%
2021년 07월 26일,"258,000","264,000","264,000","258,000",299.68K,-1.90%
2021년 07월 27일,"259,000","259,000","265,000","258,500",424.67K,0.39%
2021년 07월 28일,"260,500","259,500","264,000","258,500",318.65K,0.58%
2021년 07월 29일,"258,000","262,000","262,500","257,000",0.01K,-0.96%
2021년 07월 30일,"253,000","258,500","259,000","253,000",415.15K,-1.94%
