날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 10월 23일,"3,465.39","3,464.90","3,466.46","3,440.45",-,0.34%
2020년 10월 26일,"3,400.97","3,441.42","3,441.42","3,364.86",-,-1.86%
2020년 10월 27일,"3,390.68","3,403.15","3,409.51","3,388.71",-,-0.30%
2020년 10월 28일,"3,271.03","3,342.48","3,342.48","3,268.89",-,-3.53%
2020년 10월 29일,"3,310.11","3,277.17","3,341.05","3,259.82",-,1.19%
2020년 10월 30일,"3,269.96","3,293.59","3,304.93","3,233.94",-,-1.21%
2020년 11월 02일,"3,310.24","3,296.20","3,330.14","3,279.74",-,1.23%
2020년 11월 03일,"3,369.16","3,336.25","3,389.49","3,336.25",-,1.78%
2020년 11월 04일,"3,443.44","3,406.46","3,486.25","3,405.17",-,2.20%
2020년 11월 05일,"3,510.45","3,485.74","3,529.05","3,485.74",-,1.95%
2020년 11월 06일,"3,509.44","3,508.34","3,521.58","3,484.34",-,-0.03%
2020년 11월 09일,"3,550.50","3,583.04","3,645.99","3,547.48",-,1.17%
2020년 11월 10일,"3,545.53","3,543.26","3,557.22","3,511.91",-,-0.14%
2020년 11월 11일,"3,572.66","3,563.22","3,581.16","3,557.00",-,0.77%
2020년 11월 12일,"3,537.01","3,562.67","3,569.02","3,518.58",-,-1.00%
2020년 11월 13일,"3,585.15","3,552.57","3,593.66","3,552.57",-,1.36%
2020년 11월 16일,"3,626.91","3,600.16","3,628.51","3,600.16",-,1.16%
2020년 11월 17일,"3,609.53","3,610.31","3,623.11","3,588.68",-,-0.48%
2020년 11월 18일,"3,567.79","3,612.09","3,619.09","3,567.33",-,-1.16%
2020년 11월 19일,"3,581.87","3,559.41","3,585.22","3,543.84",-,0.39%
2020년 11월 20일,"3,557.54","3,579.31","3,581.23","3,556.85",-,-0.68%
2020년 11월 23일,"3,577.59","3,566.82","3,589.81","3,552.77",-,0.56%
2020년 11월 24일,"3,635.41","3,594.52","3,642.31","3,594.52",-,1.62%
2020년 11월 25일,"3,629.65","3,635.50","3,635.50","3,617.76",-,-0.16%
2020년 11월 27일,"3,638.35","3,638.55","3,644.31","3,629.33",-,0.24%
2020년 11월 30일,"3,621.63","3,634.18","3,634.18","3,594.39",-,-0.46%
2020년 12월 01일,"3,662.45","3,645.87","3,678.45","3,645.87",-,1.13%
2020년 12월 02일,"3,669.01","3,653.78","3,670.96","3,644.84",-,0.18%
2020년 12월 03일,"3,666.72","3,668.28","3,682.73","3,657.17",-,-0.06%
2020년 12월 04일,"3,699.12","3,670.94","3,699.20","3,670.94",-,0.88%
2020년 12월 07일,"3,691.96","3,694.73","3,697.41","3,678.88",-,-0.19%
2020년 12월 08일,"3,702.25","3,683.05","3,708.45","3,678.83",-,0.28%
2020년 12월 09일,"3,672.82","3,705.98","3,712.39","3,660.54",-,-0.79%
2020년 12월 10일,"3,668.10","3,659.13","3,678.49","3,645.18",-,-0.13%
2020년 12월 11일,"3,663.46","3,656.08","3,665.91","3,633.40",-,-0.13%
2020년 12월 14일,"3,647.49","3,675.27","3,697.61","3,645.84",-,-0.44%
2020년 12월 15일,"3,694.62","3,666.41","3,695.29","3,659.62",-,1.29%
2020년 12월 16일,"3,701.17","3,696.25","3,711.27","3,688.57",-,0.18%
2020년 12월 17일,"3,722.48","3,713.65","3,725.12","3,710.87",-,0.58%
